Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grenada,277000,271000,294000,370000,380000,342000,406000,428000,460000,445000,447000,370000,327000,387000,437000,474000,468000,529000,526000,217000
Greenland,,,,,,,,,,,,,,,,,,,,
Guatemala,835000,884000,880000,1182000,1316000,1502000,1628000,1715000,1311000,1384000,1434000,1491000,1516000,1739000,1865000,1906000,2120000,2406000,2560000,594000
Guam,1159000,1059000,910000,1160000,1228000,1212000,1225000,1142000,1053000,1197000,1160000,1308000,1334000,1343000,1409000,1536000,1545000,1549000,1667000,328000
Guyana,99000,104000,101000,122000,117000,113000,134000,130000,141000,152000,157000,177000,200000,206000,207000,235000,247000,287000,315000,86400.00153
High income,884986860,879165850.6,871624379.2,939596423.2,969910115.6,1128257223,1143132373,1134881111,1087553476,1124271992,1153167525,1215900943,1266070915,1315757995,1349915164,1403510282,1453128423,1491870217,1522430053,
"Hong Kong SAR, China",13725000,16566000,15537000,21811000,23359000,25251000,28169000,29507000,29591000,36030000,41921000,48615000,54299000,60839000,59308000,56655000,58472000,65148000,55913000,3569000
Honduras,672000,788000,887000,1026000,1118000,1136000,1309000,1561000,1589000,1965000,1852000,1903000,1857000,2082000,2093000,2228000,2144000,2323000,2315000,669000
Heavily indebted poor countries (HIPC),8160225.185,9043190.155,9192544.326,10209662.04,11488151.57,12898473.62,14613529.78,15475609.72,15905711.58,17437169.26,19068517.6,20446470.38,21285585.15,21852006.86,23619335.25,25289047.23,27119321.17,29458450.95,29134874,
Croatia,40129000,41737000,42857000,44974000,45762000,47733000,52271000,51336000,47573000,49006000,49969000,47185000,48345000,51168000,55858000,57587000,59238000,57668000,60021000,21608000
Haiti,499000,482000,518000,385000,480000,558000,868000,758000,826000,793000,946000,959000,1064000,1127599.976,1190000,1153000,1262000,1333000,938000,
Hungary,30679000,31739000,31412000,33934000,36173000,38318000,39379000,39554000,40624000,39904000,41304000,43565000,43611000,45984000,48345000,52890000,54962000,57667000,61397000,31641000
IBRD only,453337858.3,461400702.6,453203858.6,519447298.2,553668383.7,569028747.4,606513212.4,614737921.6,588744192.9,618728471.1,631384271.5,653441090,674498601.2,683100776.6,710624637,732382440.8,787599416.9,823988846.5,852166955.7,
IDA & IBRD total,493824388.6,504227902.4,496859855.2,569823563,606222959.5,626141605.1,671923148.4,683771447,659261625.3,695222797.5,706710380.5,733806691.5,759074427.8,771435636.9,805369212.1,826247856.8,889465190.8,939010263,974462802.2,
IDA total,24182673.05,26352150.78,27591739.11,31980186.94,32888290.84,37120730.18,44274304.4,47671291.73,50223430.13,55256133.34,53613909.32,58250533.32,62020322.29,65941778.03,71927095.05,71605647.8,78201600.28,93089667.65,100914423.8,
IDA blend,,,,,,,,,,,,,,,,,,,,
Indonesia,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000,14040000,15810000,16107000,4053000
IDA only,13101064,15034904.54,15535677.34,18457815.36,19225120.31,21221685.02,24248164.53,27424638.61,28669901,32648986.24,32417429.92,35988687.32,40041483.8,42827384.21,46442583.33,46337010.25,50308715.54,58328493.73,63144062.51,
Isle of Man,,,,,,,,,,,,,,,,,,,,
India,2537000,2384000,2726000,3457000,3919000,4447000,5082000,5283000,5168000,5776000,6309000,6578000,6968000,13107000,13284000,14570000,15543000,17423000,17914000,
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,6353000,6476000,6764000,6953000,7333000,8001000,8332000,8026000,7189000,7134000,7630000,7550000,8260000,8813000,9528000,10100000,10338000,10926000,10951000,
"Iran, Islamic Rep.",1402000,1585000,1546000,1659000,1889000,2735000,2219000,2034000,2116000,2938000,3354000,3834000,4769000,4968000,5237000,4942000,4867000,7295000,9107000,1550000
Iraq,127000,,,,,,,864000,1262000,1518000,1510000,1111000,892000,,,,,,,
Iceland,329000,315000,348000,405000,429000,477000,539000,561000,563000,559000,628000,765000,900000,1102000,1389000,1891000,2353000,2488000,2202000,488000
Israel,1219000,862099.9756,,1505800.049,1916000,1834000,2294000,3034000,2740000,3444000,3362000,3520000,3540000,3251000,3109000,3070000,3863000,4389000,4905000,
Italy,60960000,63561000,63026000,58480000,59230000,66353000,70271000,70719000,71692000,73225000,75866000,76293000,76762000,77694000,81068000,84925000,89931000,93228601.56,95399000,38419000
Jamaica,2117000,2131000,2483000,2515000,2615000,3016000,2880000,2859000,2753000,2832000,3077000,3306000,3274000,3504000,3692000,3837000,4276000,4319000,4233000,1329699.951
Jordan,3034000,4677000,4600000,5587000,5817000,6573000,6529000,7100000,7085000,8078000,6813000,6314000,5389000,5327000,4809000,4236000,4565000,4922000,5361000,1240000
Japan,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,24039000,28691000,31191000,31881000,4115799.805
Kazakhstan,2693000,3678000,3237000,4291000,4365000,4707000,5311000,4117000,3774000,4097000,5685000,6163000,6841000,6333000,6430000,6509000,7701000,8789000,8515000,2035000
Kenya,994000,1001000,1146000,1361000,1479000,1601000,1817000,1203000,1490000,1609000,1823000,1711000,1520000,1350000,1181000,1340000,1449000,2025000,2049000,
Kyrgyz Republic,199000,183000,342000,398000,319000,766000,1656000,2379000,2451000,1224000,3025000,3393000,4134000,3791000,4000000,3853000,4568000,6947000,8508000,
Cambodia,605000,787000,701000,1055000,1422000,1700000,2015000,2125000,2162000,2508000,2882000,3584000,4210000,4503000,4775000,5012000,5602000,6201000,6611000,1306000
Kiribati,14500,119500,130100.0061,63900.00153,50200.00076,10800.00019,32299.99924,,,,,,,8300.000191,8199.999809,7599.999905,7500,9000,12000,
St. Kitts and Nevis,334000,240000,247000,383000,365000,350000,379000,533000,548000,624000,723000,666000,695000,818000,1036000,1055000,1194000,1278000,1107000,301399.9939
"Korea, Rep.",5147000,5347000,4753000,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,11140000,12176000,14202000,13232000,17242000,13336000,15347000,17503000,2519000
Kuwait,2072000,2316000,2602000,3056000,3474000,3899000,4482000,4736000,5088000,5208000,5574000,5729000,6217000,6528000,6941000,7055000,7407000,8508000,8565000,2161000
Latin America & Caribbean (excluding high income),129631536.7,128164683.1,122614563.3,132972759.4,139293878.5,136738000,135404000,136305000,130549000,128009000,124212000,126982000,129584000,136666600,145821000,156330000,165093000,164604173.9,165233237,
Lao PDR,674000,736000,636000,895000,1095000,1215000,1624000,1737000,2008000,2513000,2724000,3330000,3779000,4159000,4684000,4239000,3869000,4186000,4791000,886400.0244
Lebanon,837000,956000,1016000,1278000,1140000,1063000,1017000,1333000,1844000,2168000,1655000,1366000,1274000,1355000,1518000,1688000,1857000,1964000,1936000,
Liberia,,,,,,,,,,,,,,,,,,,,
Libya,953000,858000,958000,,,125000,106000,760000,,,,,,,,,,,,
St. Lucia,747000,648000,683000,791000,720000,670000,905000,925000,982000,984000,950000,889000,921000,987000,1031000,948000,1064000,1165000,1220000,432500
Latin America & Caribbean,155630805.1,152947999.4,148080474.9,161110799.6,167839740.3,165382750.9,164050585.8,165005509.7,158419130.2,157336067.7,155233946.6,159170173.4,162605371.4,171231468.5,182042491.6,193556155.2,202720683.4,201522429.4,201856013.7,
Least developed countries: UN classification,8822886.005,9811415.87,9707907.432,11144721.84,12956006.38,14529500.41,16999106.65,18005255.39,18594287.03,20467099.63,23220314.71,26001684.94,28995508.77,31645081.8,33502770.99,32624657.65,34557520.69,38555567.91,40176417.36,
Low income,4422831.21,5834485.609,5908363.545,7427824.405,7489497.836,7946918.306,8224734.581,9779564.746,10644113.01,13439676.35,11065512.1,11790113.07,12106324.92,12210720.22,11563292.83,13028546.97,14021098.76,17021655.36,17409971.53,
Liechtenstein,56500,48700.00076,49000,48500,49799.99924,54900.00153,72800.00305,72900.00153,66500,64300.00305,67000,62400.00153,59599.99847,61299.99924,56700.00076,69099.99847,79300.00305,85300.00305,98099.99847,58400.00153
Sri Lanka,397000,457000,583000,681000,669000,689000,592000,526000,538000,766000,976000,1133000,1415000,1665000,1993000,2168000,2248000,2521000,2027000,540000
Lower middle income,61303177.85,64049459.33,69066616.13,82272562.52,88540296.68,96432872.55,112971124.5,120779067.9,117207259.1,126945397.1,125756815.6,136178040.8,142764863.4,140616367.3,145156137,146764495.2,166574126,192813989.6,207722217.3,
Low & middle income,382836193.3,403924802.1,394042563.3,453546722.6,486276713.9,503388699,543031904.7,562443862.6,548333631.3,578189300.7,585014466.5,607553618.6,626412968.4,634344306.6,658163496,673875108.8,731331434.2,782000891.1,814041186.1,
Lesotho,295000,287000,329000,304000,304000,357000,300000,293000,344000,426000,398000,423000,433000,1079000,1082000,1196000,1137000,1173000,1142000,
Late-demographic dividend,271213960,272906962.6,267562909.2,312413443.5,331644843.5,347355982.8,369420014.6,367075985.6,353528962.1,375168918.8,394674498.5,413361747.6,430928983.2,437115970.8,460461683.6,479145118.7,508820312.7,532235103.2,549832276.9,
Lithuania,4195000,3999000,3635000,,,,4251000,4459000,4001000,4073000,4504000,4979000,5264000,5217000,5048000,5322000,5590000,6115000,6150000,2284000
Luxembourg,836000,885000,867000,878000,913000,908000,914000,877000,847000,805000,874000,950000,945000,1038000,1090000,1054000,1046000,1018000,1041000,525000
