Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
Cambodia,37000,45000,60000,239000,568000,787000,996000,786000,340000,505000,710000,792000,872000,956000,1194000,1434000,1752000,1995000,2038000,326000
Kiribati,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000,26496000,28696000,28714000,4276000
Kuwait,1666000,1725000,1774000,1928000,2173000,2529000,2649000,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),143515183.6,144402340.5,143844760.8,151105183.5,152058277.4,146278940.6,134739323.4,133965255.3,123534765.6,119555534.8,119714980.5,121265205,127945469,130017235.5,138914310.3,147427686.5,149322519.6,138523410.9,132353711,
Lao PDR,,,,,,,,,,1686000,1788000,2052000,2857000,3320000,3067000,3059000,3049000,3207000,2690000,707000
Lebanon,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,147966602.3,148796394.3,148266969.7,155920936.3,157601258.8,152165563.9,141098688.9,140636724.3,129886598,126208450.3,127572515.4,129608833,137178744.1,139146199.5,148044581,156262752.7,157876705.2,147336636.6,140808231.3,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,
Sri Lanka,505000,533000,561000,680000,727000,757000,862000,966000,963000,1122000,1239000,1269000,1262000,1311000,1356000,1448000,1439000,1476000,1441000,305000
Lower middle income,,,,,,,,,,,,,,,,,,,,
Low & middle income,333619759.7,340879864.2,354603785,388092539.3,407499032.4,415532558.1,425958912.2,440703404.6,426014867.5,451766534.8,489755957.1,527665336.7,583907367.5,603896267.7,629577760.3,664533519.8,713073639.6,725777306.2,743168143.2,
Lesotho,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,141458819.9,134483833.4,136994938.5,148763315,165706335.4,181187456.5,206388068.2,223951463.1,207135764.3,229873413.1,258667721,287320326,319353415.5,315858060.9,329660116.7,340219982.9,371666562.7,393163875.6,409178637.3,
Lithuania,,,,,,4362000,3627000,3847000,3639000,4311000,4020000,4108000,4228000,4292000,3981000,4143000,4294000,4702000,4881000,1643000
Luxembourg,923000,1049000,1021000,1100000,1185000,1084000,1132000,1190000,1362000,1237000,1643000,1580000,1624000,1815000,1702000,1588000,2346000,2510000,2548000,1460000
Latvia,2697000,2306000,2286000,2457000,2959000,3151000,3398000,3782000,3268000,3332000,3257000,1830000,1776000,1846000,1720000,1939000,2055000,2175000,2384000,690000
"Macao SAR, China",,,,,629000,645000,599000,606000,671000,753000,908000,1291000,1446000,1537000,1466000,1251000,1391000,1780000,1765000,125000
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Morocco,1701000,1533000,1612000,1603000,2247000,2135000,2669000,3421000,2293000,2175000,2378000,2323000,2195000,1850000,1910000,1864000,1849000,1923000,2009000,646000
Monaco,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,93300.00305,117199.9969,136100.0061,146800.0031,157600.0061,180600.0061,189800.0031,177000,229000,264000,311000,75000
Madagascar,,,,,,,,,,,,,,,,,,,,
Maldives,41000,43000,44000,61000,77000,74000,102000,123000,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,
Mexico,123732000,124633000,123015000,128903000,128392000,122022000,109540000,107519000,98228000,91658000,88113000,87332000,90787000,90982000,94988000,97372000,94274000,86280000,82752000,36056000
Marshall Islands,,,,,,,,,,,,,,,,,,,,
Middle income,311083867.1,318157017.9,330252807.4,361477105.7,379523713.2,387914023.1,397553172.7,410031277,396188851.6,419234983,454402867.6,489487269.6,541727738.5,560270007,584542020.2,619488840.6,664720016.7,676540976.2,692705030.1,
North Macedonia,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,292000,292000,328000,348000,368000,404000,430000,456000,550000,633000,728000,774000,218000
Myanmar,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,
