,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
55,Estonia,5.75,3.57,1.33,3.05,4.08,4.44,6.6,10.36,-0.08,2.97,4.98,3.93,2.78,-0.11,-0.49,0.15,3.65,3.44,2.27,-0.44,4.65,19.4,19.34223339968295,19.411432972979412,19.585334509350524,19.608200455309355
56,Ethiopia,-8.24,1.65,17.76,3.22,11.66,13.56,17.25,44.37,8.48,8.13,33.23,24.13,8.15,7.41,10.08,7.28,10.69,13.84,15.81,20.35,26.84,33.89,33.92684099750743,33.890046051246884,33.888342155112156,33.894489996571245
57,Finland,2.58,1.57,0.88,0.19,0.62,1.57,2.51,4.07,0.0,1.18,3.42,2.81,1.48,1.04,-0.21,0.36,0.84,1.08,1.14,0.29,2.19,7.1,6.975356329774556,7.077059447197771,7.110705591307706,7.20629122798366
58,Fiji,4.26,0.72,4.22,2.83,2.3,2.53,4.81,7.73,3.65,3.69,7.28,3.42,2.91,0.53,1.38,3.87,3.35,4.08,1.77,-2.6,0.16,4.52,4.617480681919112,4.801610858877435,5.660885018016276,5.354001389752404
59,France,1.63,1.92,2.1,2.14,1.75,1.68,1.49,2.81,0.09,1.53,2.11,1.95,0.86,0.51,0.04,0.18,1.16,1.85,1.3,0.48,1.64,5.2,5.213931248698549,5.177776341361837,5.16616696744638,5.15057723675991
60,"Micronesia, Fed. Sts.",1.32,-0.16,-0.24,1.75,4.08,4.4,3.64,6.55,7.71,3.7,4.06,6.28,2.15,0.68,-0.16,-1.04,0.1,1.5,1.86,0.48,2.09,5.79,4.866234027610353,6.3449756810868045,6.871307456052999,7.172068470319395
61,Gabon,2.14,0.16,2.11,0.41,1.17,-1.41,-1.02,5.26,1.88,1.45,1.26,2.68,0.48,4.51,-0.14,2.09,2.65,4.78,2.02,1.37,1.08,4.23,3.6699197644492787,4.671689291450569,2.8366296578982055,4.954006158150934
62,United Kingdom,1.63,1.47,1.32,1.43,2.06,2.52,2.33,3.48,1.97,2.5,3.88,2.56,2.29,1.43,0.4,1.0,2.68,2.32,1.79,0.99,2.5,7.9,7.913253274633307,7.853613538783428,7.663649935706035,7.436135387834274
63,Georgia,4.67,5.59,4.84,5.6,8.24,9.22,9.23,10.0,1.72,7.11,8.52,-0.91,-0.51,3.07,4.03,2.12,6.04,2.62,4.85,5.2,9.57,11.9,13.028519034406216,12.972233795782465,12.46848091009989,12.333396337402887
64,Ghana,32.93,14.85,26.63,12.67,15.1,11.68,10.73,16.5,13.14,6.7,7.68,7.07,11.67,15.49,17.15,17.44,12.37,9.84,7.18,9.95,9.97,31.92,31.832883463166667,30.74981300523869,29.85039362495937,29.459546459707102
65,Guinea,5.38,2.96,11.04,17.46,31.36,34.7,22.86,18.37,4.68,15.47,21.35,15.23,11.89,9.71,8.15,8.17,8.91,9.83,9.47,10.6,12.6,12.72,12.726373635320044,12.815073393523992,12.872967247681055,12.91439587726134
66,"Gambia, The",4.49,8.61,17.03,14.29,4.96,2.06,5.37,4.45,4.55,5.05,4.8,4.64,5.24,6.26,6.81,7.22,8.05,6.52,7.12,5.93,7.37,11.31,11.290605506632241,11.318987692048474,11.367237407256068,11.393254410554281
67,Guinea-Bissau,3.25,3.3,-3.47,0.82,3.36,1.95,4.63,10.44,-1.64,1.07,5.05,2.06,0.78,-1.03,1.48,1.5,1.06,1.44,0.25,1.46,3.27,5.52,5.406576337309372,5.553225113310835,5.760595648125406,5.473026563935033
68,Equatorial Guinea,8.74,7.58,7.32,4.24,5.64,4.47,2.8,4.65,5.74,5.32,4.8,3.44,3.18,4.3,1.7,1.4,0.75,1.08,1.21,4.77,-0.09,5.14,5.322823283373284,5.3481073544781985,5.239191355872412,5.492032066921558
69,Greece,3.37,3.63,3.53,2.9,3.55,3.2,2.89,4.15,1.21,4.71,3.33,1.5,-0.92,-1.31,-1.74,-0.83,1.14,0.63,0.52,-1.25,1.22,9.6,6.7841489524003284,4.66129551464606,4.319182770545164,3.941981539869819
70,Grenada,1.67,1.07,2.15,2.31,3.48,4.25,3.86,8.03,-0.31,3.44,3.03,2.41,-0.04,-0.98,-0.58,1.72,0.91,0.81,0.6,-0.74,1.22,1.22,1.431691926600957,1.9352309753119714,2.1284255491031363,2.046215092170726
71,Guatemala,7.28,8.13,5.6,7.57,9.1,6.56,6.83,11.36,1.87,3.86,6.21,3.78,4.34,3.42,2.39,4.45,4.43,3.75,3.7,3.21,4.26,6.89,6.8896341365425995,6.892195180744404,6.887987750984296,6.883277258970262
72,Guyana,2.65,5.36,5.98,4.67,6.93,6.68,12.2,8.1,2.95,4.3,4.41,2.39,1.91,0.68,-0.87,0.83,1.94,1.27,2.09,0.72,3.32,7.59,7.6180933088505,7.625153407409788,7.643244909967963,7.666043144898998
73,"Hong Kong SAR, China",-1.61,-3.05,-2.6,-0.35,0.92,2.01,2.03,4.3,0.58,2.31,5.28,4.06,4.32,4.44,3.0,2.42,1.48,2.41,2.87,0.33,1.57,1.88,1.2187150497133006,1.1204669999564192,1.0751217462224738,1.6192647910298152
74,Honduras,9.63,7.71,7.66,8.11,8.8,5.58,6.95,11.39,5.5,4.71,6.76,5.2,5.15,6.13,3.16,2.72,3.93,4.34,4.36,3.47,4.48,9.09,8.981037092448783,8.99215575648387,8.774229941396198,9.434678585080263
75,Croatia,3.78,1.67,1.77,2.05,3.32,3.18,2.9,6.08,2.37,1.03,2.26,3.41,2.22,-0.21,-0.46,-1.12,1.13,1.5,0.77,0.28,2.55,10.78,9.80480649051639,10.292403245258194,11.2880840133444,11.390520306357384
76,Haiti,16.49,9.35,26.73,28.32,16.76,14.21,8.96,14.38,3.43,4.14,7.39,6.78,6.78,3.94,7.52,13.38,14.74,12.89,17.31,22.8,15.94,26.82,27.487611359985095,27.487611359985095,26.769423381819312,27.674744847253645
77,Hungary,9.12,5.27,4.66,6.74,3.56,3.93,7.96,6.04,4.21,4.86,3.93,5.65,1.73,-0.23,-0.06,0.39,2.41,2.85,3.37,3.33,5.11,14.6,14.706394172324151,14.178463595728367,13.914498307430474,13.937393255905292
78,Indonesia,11.5,11.9,6.76,6.06,10.45,13.11,6.41,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,3.2,2.82,1.92,1.56,4.21,4.181742880010996,4.252551898335936,4.251887024924434,4.250889714807181
79,India,3.78,4.3,3.81,3.77,4.25,5.8,6.37,8.35,10.88,11.99,8.86,9.31,10.91,6.35,5.87,4.94,3.6,4.86,4.76,6.62,4.89,6.69,6.608315416719363,6.657082332110789,6.518096623245226,6.503466548627799
80,Ireland,4.87,4.61,3.49,2.2,2.43,3.93,4.9,4.06,-4.48,-0.92,2.56,1.7,0.51,0.18,-0.29,0.01,0.25,0.49,0.88,-0.33,2.36,7.8,7.755519225594766,7.775722325420016,7.781324865707695,7.789304241268935
81,"Iran, Islamic Rep.",11.54,15.83,15.57,15.32,10.25,12.0,18.41,25.3,10.82,12.3,21.53,30.57,36.58,16.61,12.47,7.26,9.64,17.95,41.02,36.5,43.39,42.44,39.01144250618166,37.88360284893765,41.631183207533844,42.40809771352224
82,Iraq,16.4,19.3,33.6,27.0,36.96,53.25,30.82,2.67,-2.19,2.44,5.6,6.09,1.88,2.24,1.39,0.52,0.1,0.63,-0.2,0.57,6.04,5.14,5.075380462742547,5.149914230373746,5.143540796562052,5.158589181950774
83,Iceland,6.41,5.2,2.06,3.16,3.99,6.69,5.05,12.69,12.0,5.4,4.0,5.19,3.87,2.04,1.63,1.7,1.76,2.68,3.01,2.85,4.44,8.3,8.337155959539295,8.570707705215185,8.894495352628702,8.96703794030046
84,Israel,1.15,5.74,0.72,-0.41,1.31,2.12,0.47,4.59,3.33,2.71,3.47,1.68,1.57,0.49,-0.63,-0.54,0.24,0.81,0.84,-0.59,1.49,4.4,4.513132153763347,4.525214228437102,4.643838234324883,4.7668557219122105
85,Italy,2.79,2.47,2.67,2.21,1.99,2.09,1.83,3.35,0.77,1.53,2.78,3.04,1.22,0.24,0.04,-0.09,1.33,1.14,0.63,-0.14,1.87,8.2,7.987487729938948,8.243628346833725,8.381550217469375,8.409697538007263
86,Jamaica,6.84,7.06,10.13,13.53,15.1,8.52,9.29,22.01,9.58,12.59,7.53,6.88,9.35,8.3,3.68,2.35,4.38,3.73,3.91,5.23,5.86,10.35,10.188031196033553,10.258094759220437,10.228310653412247,10.09726058785621
87,Jordan,1.78,1.84,2.35,2.63,3.45,6.23,4.71,13.97,-0.73,4.86,4.18,4.52,4.83,2.91,-0.87,-0.78,3.32,4.46,0.68,0.33,1.35,4.23,4.221974501172539,4.2292918677505185,4.183971403783681,4.094746740348969
88,Japan,-0.74,-0.92,-0.26,-0.01,-0.28,0.25,0.06,1.38,-1.35,-0.72,-0.27,-0.05,0.35,2.76,0.79,-0.12,0.47,0.98,0.48,-0.02,-0.23,2.5,2.492205448699656,2.4875519852367636,2.4595148678728385,2.482433175427582
89,Kazakhstan,8.55,6.04,6.44,6.89,7.46,8.61,10.78,17.17,7.31,7.08,8.36,5.17,5.8,6.6,6.72,14.59,7.43,6.02,5.24,6.75,8.0,14.99,15.117620231135461,15.07552559992324,15.022072099971215,15.01405407497841
90,Kenya,5.78,1.99,9.82,11.81,9.91,6.03,4.25,15.1,10.52,4.08,14.03,9.37,5.73,6.88,6.59,6.33,7.99,4.69,5.2,5.4,6.11,7.66,7.482159259863353,7.604529825855231,7.565868795390756,7.5756180987252755
91,Kyrgyz Republic,6.92,2.13,2.97,4.1,4.37,5.52,10.3,24.5,6.79,7.97,16.64,2.78,6.62,7.53,6.48,0.39,3.18,1.54,1.14,6.33,11.91,13.92,14.267799333835335,14.010468034812659,13.949485878013014,14.019849905089528
