Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Luxembourg,,21000000,30000000,42000000,50000000,62000000,87000000,103000000,93000000,88000000,99000000,96000000,76000000,78000000,54000000,51000000,47000000,59000000,45000000,38000000
Latvia,32000000,37000000,37000000,51000000,71000000,84000000,94000000,,,,,,,,,,,,,
"Macao SAR, China",,20000000,16000000,17000000,63000000,73000000,82000000,74000000,68000000,83000000,100000000,72000000,104000000,131000000,109000000,96000000,102000000,104000000,112000000,41000000
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Morocco,200000000,225000000,297000000,338000000,387000000,420000000,538000000,820000000,607000000,676000000,897000000,842000000,684000000,817000000,753000000,852000000,1036000000,1011000000,926000000,396000000
Monaco,,,,,,,,,,,,,,,,,,,,
Moldova,15000000,14000000,19000000,22000000,29000000,34000000,57000000,71000000,64000000,57000000,72000000,88000000,93000000,97000000,86000000,77000000,78000000,86000000,93000000,27000000
Madagascar,49000000,32000000,3000000,15000000,89000000,81000000,91000000,123000000,114000000,112000000,138000000,127000000,123000000,161000000,99000000,159000000,155000000,126000000,142000000,18000000
Maldives,14000000,14000000,14000000,19000000,24000000,28000000,30000000,44000000,38000000,47000000,47000000,43000000,48000000,63000000,56000000,63000000,61000000,76000000,82000000,14000000
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,
Mexico,983000000,1027000000,999000000,1075000000,1351000000,1279000000,1456000000,1678000000,1530000000,1746000000,1872000000,2286000000,2848000000,2950000000,2570000000,2520000000,2807000000,2844000000,2419000000,811000000
Marshall Islands,,,,,11100000.38,12199999.81,12899999.62,12899999.62,12199999.81,10899999.62,11100000.38,12600000.38,12000000,11500000,11500000,11500000,11500000,11500000,,
Middle income,,,,,,,,,,,,,,,,,,,,
North Macedonia,21000000,16000000,23000000,30000000,35000000,39000000,45000000,54000000,50000000,39000000,46000000,42000000,37000000,37000000,30000000,24000000,26000000,23000000,20000000,6000000
Mali,29000000,26000000,46000000,59000000,56000000,76000000,64000000,81000000,89000000,56000000,52000000,62000000,71000000,87000000,57000000,56000000,60000000,76000000,,
Malta,24000000,26000000,23000000,36000000,43000000,42000000,47000000,,,,,,,,,,,,,
Myanmar,5000000,5000000,4000000,3000000,3000000,3000000,3000000,699999.9881,,,9000000,8000000,16000000,82000000,121000000,164000000,31000000,29000000,28000000,
Middle East & North Africa (excluding high income),1200727420,1433539330,1998496229,2678631638,3098147929,3113007152,3430880216,3871170414,3696174491,3554668970,3537451024,3211870536,2911638456,3165303927,2977812057,3184910920,3490243335,2833587012,2654114997,
Montenegro,,,,,,,21000000,37000000,27000000,26000000,31000000,28000000,33000000,32000000,24000000,25000000,24000000,5000000,14000000,8000000
Mongolia,4000000,6000000,6000000,14000000,16000000,24000000,22000000,32000000,32000000,54000000,64000000,73000000,63000000,56000000,51000000,54000000,85000000,103000000,111000000,23000000
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
Mozambique,18000000,2000000,1000000,6000000,11000000,17000000,29000000,33000000,35000000,31000000,34000000,61000000,72000000,78000000,99000000,45000000,46000000,3000000,4000000,5000000
Mauritania,,,,,,,,,,,,42000000,47000000,50000000,30000000,33000000,32000000,25000000,25000000,17000000
Mauritius,18000000,19000000,20000000,22000000,20000000,20000000,27000000,37000000,30000000,25000000,27000000,28000000,20000000,22000000,69000000,67000000,69000000,75000000,78000000,19000000
Malawi,12000000,8000000,13000000,10000000,30000000,30000000,22000000,25000000,28000000,29000000,31000000,31000000,28000000,32000000,35000000,28000000,34000000,49000000,56000000,36000000
Malaysia,777000000,712000000,555000000,644000000,628000000,828000000,999000000,1015000000,688000000,934000000,956000000,948000000,1141000000,1451000000,891000000,867000000,1316000000,1080000000,1309000000,386000000
North America,24587316793,23119130737,23680941781,27033619919,29608250387,32820475764,37187882896,41859267200,39013759027,46331355212,52281054119,56834140727,48975323529,52282239818,49944040133,45777491607,47987635731,60183742203,62690311237,
Namibia,,,,,,,,,5000000,7000000,9000000,5000000,6000000,17000000,8000000,10000000,2000000,13000000,11000000,5000000
